WAFER_ID,TESTER_RECIPE,TOUCHDOWN,STX_WAFER_X_UM,STX_WAFER_Y_UM,TEST_START_TIME,TE_LABEL,ITH_MA,RS_FIT_OHMS,SLOPE_EFF_MW_MA,PEAK_WAVE_AT35_NM,KINK1_CURRENT_MA
QCI2Q,LIVTK-DNS,225545,30287,16651,2025/05/02 11:46:35.000,164C5K,56.034079,4.77869,0.256124,0,63
QCI19,LIVTK-DNS,162340,24384,-1832,2025/03/28 04:58:52.000,145K2U,41.512985,5.279497,-0.000581,0,48
QCHW8,LIVTK-DNS,71520,-40296,-29432,2025/01/12 21:00:57.000,101K2I,32.728833,4.379546,-0.000944,0,40
QCI19,LIVTK-DNS,236535,-40809,20884,2025/03/28 04:58:52.000,177K0D,32.620809,-0.161704,-0.000498,0,63
QCI2Q,LIVTK-DNS,193063,11037,7351,2025/05/02 11:46:35.000,163N0E,30.236933,5.057797,0.237618,0,63
QCI3Y,LIVTK-DNS,95229,-63139,-23216,2025/04/26 23:38:41.000,99L5V,36.262183,16.936262,0.656843,827.190674,63
QCHZF,LIVTK-DNS,121013,35677,-15149,2025/03/11 03:07:40.000,127J2W,10.981636,5.434882,0.271528,831.78009,63
QCHW8,LIVTK-DNS,148384,-14629,-5966,2025/01/12 21:00:57.000,141E0G,10.275215,6.066351,0.001502,829.355042,18
QCHWG,LIVTK-DNS,161706,64167,-2699,2025/02/01 03:45:01.000,148A2B,10.922019,4.332557,0.161746,830.164551,63
QCHZF,LIVTK-DNS,265122,-12833,29101,2025/03/11 03:07:40.000,179C4Z,10.921058,5.470082,0.181536,827.244934,63
QCI3Y,LIVTK-DNS,69000,56724,-30632,2025/04/26 23:38:41.000,110K1U,10.385163,4.724309,0.000888,827.678406,17
QCI3Y,LIVTK-DNS,340402,-33623,-47249,2025/04/26 23:38:41.000,82B02,18.140885,4.93395,0.191676,823.219727,63
QCI19,LIVTK-DNS,340560,20534,-60632,2025/03/28 04:58:52.000,68B06,18.078568,5.027209,0.134699,822.863037,63
QCI3Y,LIVTK-DNS,340532,-1539,-60749,2025/04/26 23:38:41.000,66B01,18.09941,4.956831,0.193469,823.492676,63
QCI5H,LIVTK-DNS,340030,-1283,-6749,2025/05/12 06:22:10.000,142B02,17.120167,5.740957,0.199069,824.817993,63
QCI1R,LIVTK-DNS,340356,31314,-33632,2025/05/03 02:38:47.000,107B06,17.306437,5.292028,0.130533,821.689392,63
QCI1R,LIVTK-DNS,339837,-44659,6934,2025/05/03 02:38:47.000,157B04,17.572234,5.148375,0.182332,825.127075,63
QCI3Y,LIVTK-DNS,6863,33881,-57116,2025/04/26 23:38:41.000,70L21,17.743181,4.498147,0.247214,824.854919,63
QCI5H,LIVTK-DNS,340380,52874,-33632,2025/05/12 06:22:10.000,109B06,17.335274,5.297015,0.128841,822.373291,63
QCHVZ,LIVTK-DNS,339802,52617,20251,2025/01/09 05:59:33.000,185B02,17.49646,5.211893,0.203287,824.637207,63
QCI19,LIVTK-DNS,190150,46201,6334,2025/03/28 04:58:52.000,147J7A,17.64776,4.453638,0.26788,827.738342,54
QCI2Q,LIVTK-DNS,339573,41581,47434,2025/05/02 11:46:35.000,222B04,17.157251,5.070093,0.195577,823.298035,63
QCI19,LIVTK-DNS,339969,-55439,-6566,2025/03/28 04:58:52.000,137B04,17.512024,5.020816,0.18668,824.00415,63
QCI19,LIVTK-DNS,190345,33624,6118,2025/03/28 04:58:52.000,146M79,17.060411,4.879472,0.283274,828.223755,63
QCHVZ,LIVTK-DNS,340413,-23099,-47066,2025/01/09 05:59:33.000,83B04,17.27138,5.137322,0.176876,825.072632,63
QCI5H,LIVTK-DNS,340124,-44659,-20249,2025/05/12 06:22:10.000,119B01,17.017627,5.413096,0.183814,823.134949,63
QCHZF,LIVTK-DNS,340511,-22843,-60599,2025/03/11 03:07:40.000,64B05,17.192411,5.030684,0.185288,824.800537,63
QCI5H,LIVTK-DNS,339576,42094,47368,2025/05/12 06:22:10.000,222B06,17.943525,5.271229,0.132592,823.026245,63
QCI3Y,LIVTK-DNS,340355,31057,-33599,2025/04/26 23:38:41.000,107B05,17.174608,4.936154,0.196392,824.364929,63
QCI3Y,LIVTK-DNS,339516,-11806,47368,2025/04/26 23:38:41.000,217B06,17.244179,4.85951,0.128758,823.438049,63
QCI5H,LIVTK-DNS,339947,52617,6901,2025/05/12 06:22:10.000,166B05,17.366223,5.157521,0.195408,822.699829,63
QCI1R,LIVTK-DNS,339946,52617,6751,2025/05/03 02:38:47.000,166B02,17.577729,5.319193,0.209961,825.072632,63
QCI3Y,LIVTK-DNS,340426,-12063,-47249,2025/04/26 23:38:41.000,84B02,17.242317,5.000168,0.190768,823.601685,63
