index,TE_LABEL,WAFER_ID,MACH,TOUCHDOWN,ITH,TYPE,X_UM,Y_UM,FLAG
1,118N07,QCHZZ,LIV_53,1,13.603386886250963,BL LASER,-64679,-19916,
4,118N0A,QCHZZ,LIV_53,2,13.359281801496936,BL LASER,-64679,-19766,
7,118N0D,QCHZZ,LIV_53,3,13.178081959466462,BL LASER,-64679,-19616,
10,118N0G,QCHZZ,LIV_53,4,13.013000630304186,BL LASER,-64679,-19466,
2,118N08,QCHZZ,LIV_53,5,12.74866065140852,BL LASER,-64423,-19949,
5,118N0B,QCHZZ,LIV_53,6,12.823885921901086,BL LASER,-64423,-19799,
8,118N0E,QCHZZ,LIV_53,7,12.728774211262419,BL LASER,-64423,-19649,
11,118N0H,QCHZZ,LIV_53,8,12.850863163814102,BL LASER,-64423,-19499,
3,118N09,QCHZZ,LIV_53,9,12.751754025689786,BL LASER,-64166,-19982,
6,118N0C,QCHZZ,LIV_53,10,12.717077966041032,BL LASER,-64166,-19832,
9,118N0F,QCHZZ,LIV_53,11,12.573868176244202,BL LASER,-64166,-19682,
12,118N0I,QCHZZ,LIV_53,12,12.520915214630033,BL LASER,-64166,-19532,
0,118M07,QCHZZ,LIV_53,13,12.632344387935316,BL LASER,-63909,-19916,
