MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,dV/dI,dP/dI,d2V/dI2,d2P/dI2,FLAG,ITH
LIV_54,QCHZZ,4.698077,1,0.017713,-43119,-60416,63N07,BL LASER,1,,,,,NO LASER,
LIV_54,QCHZZ,5.05728,1,0.019356,-43119,-60416,63N07,BL LASER,2,0.3592030000000008,0.001643000000000002,,,NO LASER,
LIV_54,QCHZZ,5.059837,1,0.022642,-43119,-60416,63N07,BL LASER,3,0.0025569999999994764,0.0032859999999999973,-0.35664600000000135,0.0016429999999999952,NO LASER,
LIV_54,QCHZZ,5.05884,1,0.022642,-43119,-60416,63N07,BL LASER,4,-0.0009969999999999146,0.0,-0.003553999999999391,-0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.057843,1,0.020999,-43119,-60416,63N07,BL LASER,5,-0.0009969999999999146,-0.0016429999999999986,0.0,-0.0016429999999999986,NO LASER,
LIV_54,QCHZZ,5.056846,1,0.022642,-43119,-60416,63N07,BL LASER,6,-0.0009969999999999146,0.0016429999999999986,0.0,0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.055849,1,0.025928,-43119,-60416,63N07,BL LASER,7,-0.0009969999999999146,0.0032860000000000007,0.0,0.001643000000000002,NO LASER,
LIV_54,QCHZZ,5.054852,1,0.024285,-43119,-60416,63N07,BL LASER,8,-0.0009969999999999146,-0.0016429999999999986,0.0,-0.004928999999999999,NO LASER,
LIV_54,QCHZZ,5.053855,1,0.022642,-43119,-60416,63N07,BL LASER,9,-0.0009969999999999146,-0.001643000000000002,0.0,-3.469446951953614e-18,NO LASER,
LIV_54,QCHZZ,5.052858,1,0.019356,-43119,-60416,63N07,BL LASER,10,-0.0009970000000008028,-0.0032859999999999973,-8.881784197001252e-16,-0.0016429999999999952,NO LASER,
LIV_54,QCHZZ,5.051861,1,0.01607,-43119,-60416,63N07,BL LASER,11,-0.0009969999999999146,-0.0032860000000000007,8.881784197001252e-16,-3.469446951953614e-18,NO LASER,
LIV_54,QCHZZ,5.050864,1,0.014427,-43119,-60416,63N07,BL LASER,12,-0.0009969999999999146,-0.0016430000000000004,0.0,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.049867,1,0.014427,-43119,-60416,63N07,BL LASER,13,-0.0009969999999999146,0.0,0.0,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.04887,1,0.01114,-43119,-60416,63N07,BL LASER,14,-0.0009969999999999146,-0.003287,0.0,-0.003287,NO LASER,
LIV_54,QCHZZ,5.047873,1,0.012784,-43119,-60416,63N07,BL LASER,15,-0.0009969999999999146,0.0016439999999999996,0.0,0.004931,NO LASER,
LIV_54,QCHZZ,5.046876,1,0.014427,-43119,-60416,63N07,BL LASER,16,-0.0009969999999999146,0.0016430000000000004,0.0,-9.999999999992654e-07,NO LASER,
LIV_54,QCHZZ,5.045879,1,0.014427,-43119,-60416,63N07,BL LASER,17,-0.0009969999999999146,0.0,0.0,-0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.044882,1,0.014427,-43119,-60416,63N07,BL LASER,18,-0.0009969999999999146,0.0,0.0,0.0,NO LASER,
LIV_54,QCHZZ,5.043885,1,0.01607,-43119,-60416,63N07,BL LASER,19,-0.0009969999999999146,0.0016430000000000004,0.0,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.042888,1,0.019356,-43119,-60416,63N07,BL LASER,20,-0.0009970000000008028,0.0032860000000000007,-8.881784197001252e-16,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.041891,1,0.019356,-43119,-60416,63N07,BL LASER,21,-0.0009969999999999146,0.0,8.881784197001252e-16,-0.0032860000000000007,NO LASER,
LIV_54,QCHZZ,5.040894,1,0.022642,-43119,-60416,63N07,BL LASER,22,-0.0009969999999999146,0.0032859999999999973,0.0,0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.039897,1,0.019356,-43119,-60416,63N07,BL LASER,23,-0.0009969999999999146,-0.0032859999999999973,0.0,-0.0065719999999999945,NO LASER,
LIV_54,QCHZZ,5.0389,1,0.019356,-43119,-60416,63N07,BL LASER,24,-0.0009969999999999146,0.0,0.0,0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.037903,1,0.01607,-43119,-60416,63N07,BL LASER,25,-0.0009969999999999146,-0.0032860000000000007,0.0,-0.0032860000000000007,NO LASER,
LIV_54,QCHZZ,5.036906,1,0.014427,-43119,-60416,63N07,BL LASER,26,-0.0009969999999999146,-0.0016430000000000004,0.0,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.035909,1,0.014427,-43119,-60416,63N07,BL LASER,27,-0.0009969999999999146,0.0,0.0,0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.034912,1,0.012784,-43119,-60416,63N07,BL LASER,28,-0.0009969999999999146,-0.0016430000000000004,0.0,-0.0016430000000000004,NO LASER,
LIV_54,QCHZZ,5.033915,1,0.01607,-43119,-60416,63N07,BL LASER,29,-0.0009969999999999146,0.0032860000000000007,0.0,0.004929000000000001,NO LASER,
LIV_54,QCHZZ,5.032918,1,0.01607,-43119,-60416,63N07,BL LASER,30,-0.0009970000000008028,0.0,-8.881784197001252e-16,-0.0032860000000000007,NO LASER,
LIV_54,QCHZZ,5.031921,1,0.019356,-43119,-60416,63N07,BL LASER,31,-0.0009969999999999146,0.0032860000000000007,8.881784197001252e-16,0.0032860000000000007,NO LASER,
LIV_54,QCHZZ,5.030924,1,0.019356,-43119,-60416,63N07,BL LASER,32,-0.0009969999999999146,0.0,0.0,-0.0032860000000000007,NO LASER,
LIV_54,QCHZZ,5.029927,1,0.020999,-43119,-60416,63N07,BL LASER,33,-0.0009969999999999146,0.0016429999999999986,0.0,0.0016429999999999986,NO LASER,
LIV_54,QCHZZ,5.02893,1,0.022642,-43119,-60416,63N07,BL LASER,34,-0.0009969999999999146,0.0016429999999999986,0.0,0.0,NO LASER,
LIV_54,QCHZZ,5.027933,1,0.024285,-43119,-60416,63N07,BL LASER,35,-0.0009969999999999146,0.001643000000000002,0.0,3.469446951953614e-18,NO LASER,
LIV_54,QCHZZ,5.026936,1,0.025928,-43119,-60416,63N07,BL LASER,36,-0.0009969999999999146,0.0016429999999999986,0.0,-3.469446951953614e-18,NO LASER,
LIV_54,QCHZZ,5.025939,1,0.025928,-43119,-60416,63N07,BL LASER,37,-0.0009969999999999146,0.0,0.0,-0.0016429999999999986,NO LASER,
LIV_54,QCHZZ,5.024942,1,0.025928,-43119,-60416,63N07,BL LASER,38,-0.0009969999999999146,0.0,0.0,0.0,NO LASER,
LIV_54,QCHZZ,5.023945,1,0.024285,-43119,-60416,63N07,BL LASER,39,-0.0009969999999999146,-0.0016429999999999986,0.0,-0.0016429999999999986,NO LASER,
LIV_54,QCHZZ,5.022948,1,0.027571,-43119,-60416,63N07,BL LASER,40,-0.0009969999999999146,0.0032859999999999973,0.0,0.004928999999999996,NO LASER,
LIV_54,QCHZZ,5.021951,1,0.025928,-43119,-60416,63N07,BL LASER,41,-0.0009970000000008028,-0.0016429999999999986,-8.881784197001252e-16,-0.004928999999999996,NO LASER,
LIV_54,QCHZZ,5.020954,1,0.029214,-43119,-60416,63N07,BL LASER,42,-0.0009969999999999146,0.0032860000000000007,8.881784197001252e-16,0.004928999999999999,NO LASER,
LIV_54,QCHZZ,5.019957,1,0.027571,-43119,-60416,63N07,BL LASER,43,-0.0009969999999999146,-0.001643000000000002,0.0,-0.004929000000000003,NO LASER,
LIV_54,QCHZZ,5.01896,1,0.022642,-43119,-60416,63N07,BL LASER,44,-0.0009969999999999146,-0.004928999999999999,0.0,-0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.017963,1,0.024285,-43119,-60416,63N07,BL LASER,45,-0.0009969999999999146,0.001643000000000002,0.0,0.0065720000000000015,NO LASER,
LIV_54,QCHZZ,5.016966,1,0.020999,-43119,-60416,63N07,BL LASER,46,-0.0009969999999999146,-0.0032860000000000007,0.0,-0.004929000000000003,NO LASER,
LIV_54,QCHZZ,5.015969,1,0.022642,-43119,-60416,63N07,BL LASER,47,-0.0009969999999999146,0.0016429999999999986,0.0,0.004928999999999999,NO LASER,
LIV_54,QCHZZ,5.014972,1,0.019356,-43119,-60416,63N07,BL LASER,48,-0.0009969999999999146,-0.0032859999999999973,0.0,-0.004928999999999996,NO LASER,
LIV_54,QCHZZ,5.013975,1,0.022642,-43119,-60416,63N07,BL LASER,49,-0.0009969999999999146,0.0032859999999999973,0.0,0.0065719999999999945,NO LASER,
LIV_54,QCHZZ,5.012978,1,0.022642,-43119,-60416,63N07,BL LASER,50,-0.0009969999999999146,0.0,0.0,-0.0032859999999999973,NO LASER,
LIV_54,QCHZZ,5.011981,1,0.020999,-43119,-60416,63N07,BL LASER,51,-0.0009970000000008028,-0.0016429999999999986,-8.881784197001252e-16,-0.0016429999999999986,NO LASER,
